	title	link	salary_minimal	salary_maximal	normal_salary	source
128	Backend разработчик Python	https://orenburg.hh.ru/vacancy/50955279				hh.ru
129	Python backend developer (Blockchain Developer)	https://orenburg.hh.ru/vacancy/50862001		100000.0	руб.	hh.ru
130	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918675		220000.0	руб.	hh.ru
131	ML research engineer	https://orenburg.hh.ru/vacancy/51705176		150000.0	руб.	hh.ru
132	Python разработчик	https://orenburg.hh.ru/vacancy/48934640				hh.ru
133	Python developer (Ростелеком Ключ)	https://orenburg.hh.ru/vacancy/51787069				hh.ru
134	Python developer	https://orenburg.hh.ru/vacancy/51848345				hh.ru
135	Python Developer (senior/middle+)	https://orenburg.hh.ru/vacancy/50589215		350000.0	руб.	hh.ru
136	Разработчик Python Middle	https://orenburg.hh.ru/vacancy/51803987		150000.0	руб.	hh.ru
137	Data Scientist	https://orenburg.hh.ru/vacancy/51808966	120000.0	160000.0	руб.	hh.ru
138	Инженер машинного обучения / ML Engineer	https://orenburg.hh.ru/vacancy/49342464		2500.0	EUR	hh.ru
139	Преподаватель курса Python/Django	https://orenburg.hh.ru/vacancy/51643493	55000.0	70000.0	грн.	hh.ru
140	Data-инженер (DWH) / Разработчик SQL + Python	https://orenburg.hh.ru/vacancy/49781234				hh.ru
141	Python разработчик	https://orenburg.hh.ru/vacancy/50945933				hh.ru
142	Программист Python (удаленно)	https://orenburg.hh.ru/vacancy/45864751				hh.ru
143	Аналитик Data science (junior)	https://orenburg.hh.ru/vacancy/51653154	40000.0	60000.0	руб.	hh.ru
144	Senior Python / Django Developer	https://orenburg.hh.ru/vacancy/49713776		250000.0	руб.	hh.ru
145	Python developer	https://orenburg.hh.ru/vacancy/50278398				hh.ru
146	Тестировщик ПО	https://orenburg.hh.ru/vacancy/51724752		100000.0	руб.	hh.ru
147	Python Developer	https://orenburg.hh.ru/vacancy/50889367				hh.ru
148	Python Developer	https://orenburg.hh.ru/vacancy/50764308				hh.ru
149	Data Scientist	https://orenburg.hh.ru/vacancy/51774138	1000.0	3000.0	USD	hh.ru
150	Программист Python	https://orenburg.hh.ru/vacancy/46908066		150000.0	руб.	hh.ru
